Specification,LP_Stable,Cyber_Disinfo_Delta%,CBRN_Disinfo_Delta%
Original,5/5,9.926349021648734,15.898767995700258
(a) Coarser,5/5,10.544938283295176,16.903892071274445
(b) Finer,5/5,9.355065479800889,15.072713392219942
(c) Alt. signs,5/5,7.846789647316893,11.029901834317682
